id,matricule,nom,prenom,telephone,referenciel,duree,id_promotion,date,status
1,P1_DEVDAT_2024_129,Gueye,Oumar,778888888,Dev Web,08h:03,P1,2024-04-16,present
2,P2_DEVDAT_2024_130,Diallo,Aminata,779999999,Dev-data,08h:012,P2,2024-04-16,present
2,P2_DEV DAT-Web_2024_130,Diallo,Modou,779999999,Dev Web,08h:012,P2,2024-04-16,present
3,P3_REFDIG_2024_131,Ndiaye,Modou,770000000,REF-DIG,08h:03,P3,2024-04-16,present
4,P4_REFDIG_2024_132,Sow,Fatou,771111111,REF-DIG,08h:06,P4,2024-04-16,present
5,P5_DEV-WEB_2024_133,Camara,Mamadou,772222222,Dev Web,_,P5,2024-04-16,absent
6,P6_REFDIG_2024_134,Diagne,Aïssatou,773333333,REF-DIG,_,P6,2024-04-16,absent
6,P6_DEV-WEB_2024_134,Diagne,salla,773333333,Dev Web,_,P6,2024-04-16,absent
6,P6_REFDIG_2024_134,Diagne,soukeuye,773333333,REF-DIG,_,P6,2024-04-16,absent
6,P6_DEV-WEB_2024_134,Diagne,Aïssatou,773333333,Dev Web,_,P6,2024-04-16,absent
8,P4_AWS_2024_136,Sylla,Aïcha,775555555,AWS,08h:03,P4,2024-04-16,present
9,P5_REFDIG_2024_137,Drame,Moussa,776666666,REF-DIG,_,P5,2024-04-16,absent
10,P5_DEV-WEB_2024_138,Fall,Amy,777777777,Dev Web,08h:00,P5,2024-04-16,present
11,P1_DEVDAT_2024_139,Bah,Mamadou,778888888,Dev Web,08h:00,P1,2024-04-16,absent
12,P2_DEVDAT_2024_140,Cisse,Aminata,779999999,Dev-data,08h:05,P2,2024-04-16,present
13,P3_DEV-WEB_2024_141,Ndiaye,Modou,770000000,Dev Web,08h:03,P3,2024-04-16,present
14,P4_REFDIG_2024_142,Sylla,Fatou,771111111,REF-DIG,08h:03,P4,2024-04-16,absent
15,P5_DEVDAT_2024_143,Camara,Mamadou,772222222,Dev-data,08h:14,P5,2024-04-16,present
16,P6_HAC_2024_144,Diagne,ndeye,773333333,Hackeuse,08h:03,P6,2024-04-16,present
18,P4_AWS_2024_146,Sylla,Aïcha,775555555,AWS,_,P4,2024-04-16,present
19,P5_REFDIG_2024_147,Drame,Moussa,776666666,REF-DIG,_,P5,2024-04-16,absent
20,P5_DEVDAT_2024_148,Fall,Amy,777777777,Dev-data,08h:03,P5,2024-04-16,present
21,P1_DEVDAT_2024_123,seydi,Alioune,778888888,Dev-data,08h:03,P1,2024-04-16,present
21,P1_REFDIG_2024_160,seck,Fallou,778888888,REF-DIG,08h:03,P1,2024-04-16,present
21,P1_DEVDAT_2024_159,mbaye,Maissa,778888888,Dev Web,08h:03,P1,2024-04-16,present
21,P1_DEVDAT_2024_179,seydi,Oumar,778888888,Dev-data,08h:03,P1,2024-04-16,present
22,P2_DEVDAT_2024_150,Diallo,Lamine,779999999,Dev-data,_,P2,2024-04-16,absent
23,P3_DEV-WEB_2024_151,Ndiaye,Modou,770000000,Dev Web,08h:03,P3,2024-04-16,present
24,P4_REFDIG_2024_152,Sow,Fatou,771111111,REF-DIG,_,P4,2024-04-16,absent
25,P5_AWS_2024_153,Camara,Mamadou,772222222,AWS,_,P5,2024-04-16,absent
